id,equipamento_id,data_movimentacao,origem_local,origem_unidade,destino_local,destino_unidade,tipo_movimento,responsavel,observacoes,contador_mono_anterior,contador_mono_novo,contador_color_anterior,contador_color_novo
1730,632,2026-06-23,CAT,,URSI ZN Cardio,,saida_cliente,,Envio para cliente,,,,
1731,711,2026-06-23,URSI ZN Cardio,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1732,881,2026-06-24,Unidade Mista de Embu,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1733,884,2026-06-24,CAT,,Unidade Mista de Embu,,saida_cliente,,Envio para cliente,,,,
1734,885,2026-07-01,CAT,,Hospital Israelita Albert Sabin,,saida_cliente,,Envio para cliente,,,,
1735,636,2026-07-02,Hospital Israelita Albert Sabin,,R10,,retorno_cliente,,Retorno de cliente,,,,
1736,673,2026-07-02,Hospital Israelita Albert Sabin,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1737,705,2026-07-01,CAT,,Hospital Israelita Albert Sabin,,saida_cliente,,Envio para cliente,,,,
1738,578,2026-07-03,HM Campo Limpo Paulista,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1739,886,2026-07-03,HM Campo Limpo Paulista,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1740,887,2026-07-08,CAT,,4id Suzano,,saida_cliente,,Envio para cliente,,,,
1741,711,2026-07-10,CAT,,Unidade Mista de Embu,,saida_cliente,,Envio para cliente,,,,
1742,888,2026-07-15,CAT,,Unidade Mista de Embu,,saida_cliente,,Envio para cliente,,,,
1743,711,2026-07-15,Unidade Mista de Embu,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1744,884,2026-07-18,CAT,,AES São Matheus,,saida_cliente,,Envio para cliente,,,,
1745,889,2026-07-18,CAT,,"AES São Caetano  (Rua Rafael Corrêa Sampaio,361)",,saida_cliente,,Envio para cliente,,,,
1746,890,2026-07-18,CAT,,Centro de Exames da Mulher,,saida_cliente,,Envio para cliente,,,,
1747,626,2026-07-18,CAT,,Centro de Exames da Mulher,,saida_cliente,,Envio para cliente,,,,
1748,872,2026-07-18,Centro de Exames da Mulher (Capela do Socorro) US,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1749,802,2026-07-18,Centro de Exames da Mulher (Capela do Socorro) US,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1750,706,2026-07-21,CEM,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1751,600,2026-07-21,CAT,,CEM,,saida_cliente,,Envio para cliente,,,,
1752,706,2026-07-21,CEM,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1753,578,2026-07-21,CAT,,HC Mboimirim ii (vera Cruz),,saida_cliente,,Envio para cliente,,,,
1754,879,2026-07-21,HC Mboimirim ii (vera Cruz),,CAT,,retorno_cliente,,Retorno de cliente,,,,
1755,891,2026-07-21,CAT,,Porsche Matriz,,saida_cliente,,Envio para cliente,,,,
1756,892,2026-07-21,Porsche Matriz,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1757,879,2026-07-29,CAT,,USF Cidade Nova,,saida_cliente,,Envio para cliente,,,,
1758,607,2026-07-30,CAT,,Mercadão Bertioga,,saida_cliente,,Envio para cliente,,,,
1759,851,2026-07-30,Mercadão Bertioga,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1760,775,2026-07-31,CAT,,P.S Pindamonhagaba,,saida_cliente,,Envio para cliente,,,,
1761,588,2026-08-04,CAT,,"AES São Caetano  (Rua Rafael Corrêa Sampaio,361)",,saida_cliente,,Envio para cliente,,,,
1762,893,2026-08-04,"AES São Caetano  (Rua Rafael Corrêa Sampaio,361)",,CAT,,retorno_cliente,,Retorno de cliente,,,,
1763,894,2026-08-06,HD MboiMirim Vera Cruz,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1764,519,2026-08-06,CAT,,HD MboiMirim Vera Cruz,,saida_cliente,,Envio para cliente,,,,
1765,756,2026-08-07,CAT,,Posto de Atendimento Imediato José Zanedin (Sta Cruz das Palmeiras) BK,,saida_cliente,,Envio para cliente,,,,
1766,614,2026-08-07,CAT,,Posto de Atendimento Imediato José Zanedin (Sta Cruz das Palmeiras) P,,saida_cliente,,Envio para cliente,,,,
1767,875,2026-08-07,CAT,,Nova Odessa,,saida_cliente,,Envio para cliente,,,,
1768,774,2026-08-07,CAT,,Nova Odessa,,saida_cliente,,Envio para cliente,,,,
1769,895,2026-08-11,CAT,,Humana Pompeia,,saida_cliente,,Envio para cliente,,,,
