id,codigo,tipo_equipamento,fabricante,modelo,numero_serie,patrimonio,status,unidade_id,local_atual_nome,cliente_atual,observacoes,contador_mono,contador_color,data_cadastro,ativo
667,RCH-IMP-000156,impressora,Epson,EPSON L3210,xaaa147748,,ativo,,R10 - SP,,,4734,0,2026-06-17 11:50:04,1
668,RCH-IMP-000157,impressora,Hp,HP M4103,brbsrcs03y,,ativo,,Araguaya,,,0,0,2026-06-17 11:50:04,1
669,RCH-IMP-000158,impressora,Hp,HP M479,cncrq1f0vn,,ativo,,Porsche MATRIZ,,,0,0,2026-06-17 11:50:04,1
670,RCH-IMP-000159,impressora,Hp,HP M432,brbsp9d05h,,ativo,,Porsche Matriz,,,77772,0,2026-06-17 11:50:04,1
671,RCH-IMP-000160,impressora,Hp,HP M4103,brbsq9p07,,ativo,,R10 - SP,,bandeja qubrada,0,0,2026-06-17 11:50:04,1
672,RCH-IMP-000161,impressora,Hp,HP M408,brbsn9ffsr,,ativo,,Porsche Campinas,,,17689,0,2026-06-17 11:50:04,1
673,RCH-IMP-000162,impressora,Oki,OKI ES5112,bw02001071,,ativo,,Hosp de Cachoeira de macacu (P),,,69103,0,2026-06-17 11:50:04,1
674,RCH-IMP-000163,impressora,Oki,OKI ES5112,ak5c37009,,ativo,,Campo Limpo Paulista,,,64270,0,2026-06-17 11:50:04,1
675,RCH-IMP-000164,impressora,Oki,OKI ES5112,bw02001064,,ativo,,Chavantes Samir,,Bandeja não abre,40884,0,2026-06-17 11:50:04,1
676,RCH-IMP-000165,impressora,Oki,OKI C711,ak87010140d0,,ativo,,R10,,,0,0,2026-06-17 11:50:04,1
677,RCH-IMP-000166,impressora,Oki,OKI C911,AL97036823,,ativo,,Hospital Saquarema de Nazaré,,Riscando,210016,2672,2026-06-17 11:50:04,1
678,RCH-IMP-000167,impressora,Epson,EPSON L1250,xbfr057063,,ativo,,Hosp Nelson Sales US - RJ laudo,,,0,0,2026-06-17 11:50:04,1
679,RCH-IMP-000168,impressora,Epson,EPSON L1250,xbfr043095,,ativo,,Hosp Nelson Sales US - RJ Imagem,,,0,0,2026-06-17 11:50:04,1
680,RCH-IMP-000169,impressora,Oki,OKI ES5112,bw02001065,,ativo,,RX de Amparo,,,21426,0,2026-06-17 11:50:04,1
681,RCH-IMP-000170,impressora,Oki,OKI ES5112,ak7b032341,,ativo,,Hosp Justino Luz (Piaui) P,,,9406,0,2026-06-17 11:50:04,1
682,RCH-IMP-000171,impressora,Epson,EPSON L1250,xbfr043425,,ativo,,Hosp Materno Infantil - ES (P),,,0,0,2026-06-17 11:50:04,1
683,RCH-IMP-000172,impressora,Epson,EPSON L1250,xbfr053377,,ativo,,Hosp Materno Infantil - ES (B),,,0,0,2026-06-17 11:50:04,1
684,RCH-IMP-000173,impressora,Oki,OKI ES5112,,,ativo,,r10,,Queimou,0,0,2026-06-17 11:50:04,1
685,RCH-IMP-000174,impressora,Oki,OKI C711,AL29020155,,ativo,,Mercadão Registro,,,231,89669,2026-06-17 11:50:04,1
686,RCH-IMP-000175,impressora,Oki,OKI ES5112,AK7B032341,,ativo,,Ama Capão,,,9406,0,2026-06-17 11:50:04,1
687,RCH-IMP-000176,impressora,Oki,OKI ES5112,ak965000559,,ativo,,R10 - SP,,Queimou,0,0,2026-06-17 11:50:04,1
688,RCH-IMP-000177,impressora,Epson,EPSON L1250,xbfr034570,,ativo,,Chavantes Samir,,,5771,0,2026-06-17 11:50:04,1
689,RCH-IMP-000178,impressora,Oki,OKI C711,SN,,ativo,,Hosp Geral de Arraial do Cabo (B),,,155,34233,2026-06-17 11:50:04,1
690,RCH-IMP-000179,impressora,Oki,OKI ES4172,ak97011016,,ativo,,Amparo,,atolando papel,188471,0,2026-06-17 11:50:04,1
691,RCH-IMP-000180,impressora,Epson,EPSON L1250,xbfr059187,,ativo,,Policlinica de Saquarema,,,0,0,2026-06-17 11:50:04,1
692,RCH-IMP-000181,impressora,Epson,EPSON L1250,xbfr058736,,ativo,,Miracatu,,,3033,0,2026-06-17 11:50:04,1
693,RCH-IMP-000182,impressora,Oki,OKI C711,ak77045153d0,,ativo,,R10,,,0,0,2026-06-17 11:50:04,1
694,RCH-IMP-000183,impressora,Oki,OKI ES5112,,,ativo,,R10 - SP,,queimou,0,0,2026-06-17 11:50:04,1
695,RCH-IMP-000184,impressora,Hp,HP M479,cncrq1f0s9,,ativo,,Humana Verbo Divino,,,0,0,2026-06-17 11:50:04,1
696,RCH-IMP-000185,impressora,Oki,OKI ES4172,,,ativo,,R10 - SP,,problemas na rede,0,0,2026-06-17 11:50:04,1
697,RCH-IMP-000186,impressora,Oki,OKIC831,al23002608,,ativo,,Samir Piaui (Campo Maior),,,3496,21876,2026-06-17 11:50:04,1
698,RCH-IMP-000187,impressora,Oki,OKIC831,,,ativo,,R10 - SP,,erro:128 ventilador do fusor,0,0,2026-06-17 11:50:04,1
699,RCH-IMP-000188,impressora,Epson,EPSON L3210,xaaa155670,,ativo,,Hosp Geral de Arraial do Cabo - Rec Raiox,,,544,0,2026-06-17 11:50:04,1
700,RCH-IMP-000189,impressora,Oki,OKIC831,,,ativo,,R10,,,0,0,2026-06-17 11:50:04,1
701,RCH-IMP-000190,impressora,Epson,EPSON L3210,xaaa087547,,ativo,,URSI Santana/Jaçanã Samir Teste Ergometrico,,,9038,0,2026-06-17 11:50:04,1
702,RCH-IMP-000191,impressora,Zebra,Zebra-GT800,,,ativo,,Humana Ibirapuera,,,0,0,2026-06-17 11:50:04,1
703,RCH-IMP-000192,impressora,Epson,EPSON L3150,x5ev734787,,ativo,,Policlinica Saquarema,,Papel atolado,29560,0,2026-06-17 11:50:04,1
704,RCH-IMP-000193,impressora,Epson,EPSON L1250,xbfr073869,,ativo,,Amparo - US,,,0,0,2026-06-17 11:50:04,1
705,RCH-IMP-000194,impressora,Oki,OKI ES5112,ak5c034557,,ativo,,Hospital Israelita Albert Sabin,,,154717,0,2026-06-17 11:50:04,1
706,RCH-IMP-000195,impressora,Epson,EPSON L1250,xbfr053455,,ativo,,Hospital Geral de Arraial - Teste Ergometrico,,,11902,0,2026-06-17 11:50:04,1
707,RCH-IMP-000196,impressora,Epson,EPSON L3250,xaab910528,,ativo,,AES São Bernado,,,4603,0,2026-06-17 11:50:04,1
708,RCH-IMP-000197,impressora,Epson,EPSON L1250,xbfr002830,,ativo,,R10 - SP,,clip intalado na impressora,0,0,2026-06-17 11:50:04,1
709,RCH-IMP-000198,impressora,Epson,EPSON L1250,xbfr073345,,ativo,,RX P.S Figuera  - Arraial do Cabo,,,0,0,2026-06-17 11:50:04,1
710,RCH-IMP-000199,impressora,Epson,EPSON L1250,xbfr073356,,ativo,,Hosp Geral de Arraial do Cabo USG,,,0,0,2026-06-17 11:50:04,1
711,RCH-IMP-000200,impressora,Epson,EPSON L3110,x5eu272223,,ativo,,Juquitiba,,,65682,0,2026-06-17 11:50:04,1
712,RCH-IMP-000201,impressora,Oki,OKI C711,AK85026314,,ativo,,Mercadão Guaruja,,,44200,20108,2026-06-17 11:50:04,1
713,RCH-IMP-000202,impressora,Oki,OKI ES5112,,,ativo,,R10 - SP,,erro :173 fusor,0,0,2026-06-17 11:50:04,1
714,RCH-IMP-000203,impressora,Oki,OKI C711,ak8a009591,,ativo,,Amparo,,,12311,108703,2026-06-17 11:50:04,1
715,RCH-IMP-000204,impressora,Epson,EPSON L1250,Xbfr002830,,ativo,,O.S Manutenção,,clip intalado na impressora,0,0,2026-06-17 11:50:04,1
716,RCH-IMP-000205,impressora,Epson,EPSON L3110,Xeu272223,,ativo,,O.S Manutenção,,não sai tinta preta,0,0,2026-06-17 11:50:04,1
717,RCH-IMP-000206,impressora,Epson,EPSON L3150,X5ev742859,,ativo,,O.S Manutenção,,Atolando e manchando papel,9802,0,2026-06-17 11:50:04,1
718,RCH-IMP-000207,impressora,Epson,EPSON L805,w7uk040979,,ativo,,O.S Manutenção,,Impressora não liga,0,0,2026-06-17 11:50:04,1
719,RCH-IMP-000208,impressora,Epson,EPSON L805,w7uk043479,,ativo,,R10 - SP,,,27516,0,2026-06-17 11:50:04,1
720,RCH-IMP-000209,impressora,Oki,OKI C711,AK96000214,,ativo,,Hosp De Americana,,,71958,7904,2026-06-17 11:50:04,1
721,RCH-IMP-000210,impressora,Oki,OKI C711,,,ativo,,R10 - SP,,não inicializa,0,0,2026-06-17 11:50:04,1
722,RCH-IMP-000211,impressora,Oki,OKI ES4172,ak81005394b0,,ativo,,R10,,erro :173 fusor,24883,0,2026-06-17 11:50:04,1
723,RCH-IMP-000212,impressora,Hp,HP M4103,Brbsrcs02n,,ativo,,Porsche Porto Alegre,,,0,0,2026-06-17 11:50:04,1
724,RCH-IMP-000213,impressora,Hp,HP M4103,brbsrd60x6,,ativo,,Porsche Porto Alegre,,,0,0,2026-06-17 11:50:04,1
725,RCH-IMP-000214,impressora,Hp,HP M479,Cncrq1f0wl,,ativo,,Porsche Matriz,,,0,0,2026-06-17 11:50:04,1
726,RCH-IMP-000215,impressora,Oki,OKI ES4172,ak75042862,,ativo,,R10 - SP,,,73473,0,2026-06-17 11:50:04,1
727,RCH-IMP-000216,impressora,Oki,OKI ES8473,al88006251,,ativo,,Complexo de Saúde Dr. Antonio João Abdalla ( Cajamar),,,14228,88214,2026-06-17 11:50:04,1
728,RCH-IMP-000217,impressora,Oki,OKI C711,AK9B000031,,ativo,,Mercadão Enseada,,,16348,26882,2026-06-17 11:50:04,1
729,RCH-IMP-000218,impressora,Oki,OKI C711,ak77045129d0,,ativo,,R10,,Queimou,0,0,2026-06-17 11:50:04,1
730,RCH-IMP-000219,impressora,Oki,OKI ES4172,,,ativo,,R10 - SP,,Bandeja Adf Atolando papel,0,0,2026-06-17 11:50:04,1
731,RCH-IMP-000220,impressora,Oki,OKI ES5112,ak5c049270,,ativo,,Vera Cruz,,,67843,0,2026-06-17 11:50:04,1
732,RCH-IMP-000221,impressora,Epson,EPSON L805,w7uk045435,,ativo,,R10 - SP,,,21208,0,2026-06-17 11:50:04,1
733,RCH-IMP-000222,impressora,Hp,HP M408,7uq75a,,ativo,,Porsche Matriz,,,2723,0,2026-06-17 11:50:04,1
734,RCH-IMP-000223,impressora,Hp,HP M408,,,ativo,,R10 - SP,,Queimou,0,0,2026-06-17 11:50:04,1
735,RCH-IMP-000224,impressora,Oki,OKIC831,AL28028136,,ativo,,Samir São Roque,,,90958,63134,2026-06-17 11:50:04,1
736,RCH-IMP-000225,impressora,Epson,EPSON L3210,Xaaa162812,,ativo,,Piaui,,,0,0,2026-06-17 11:50:04,1
737,RCH-IMP-000226,impressora,Epson,EPSON L3210,Xaaa162954,,ativo,,Piaui,,,0,0,2026-06-17 11:50:04,1
738,RCH-IMP-000227,impressora,Epson,EPSON L3210,Xaaa186844,,ativo,,Piaui,,,0,0,2026-06-17 11:50:04,1
739,RCH-IMP-000228,impressora,Epson,EPSON L1250,Xbfr073316,,ativo,,Piaui,,,0,0,2026-06-17 11:50:05,1
740,RCH-IMP-000229,impressora,Epson,EPSON L1250,Xbfr082272,,ativo,,Piaui,,,0,0,2026-06-17 11:50:05,1
741,RCH-IMP-000230,impressora,Epson,EPSON L1250,Xbfr072210,,ativo,,Piaui,,,0,0,2026-06-17 11:50:05,1
742,RCH-IMP-000231,impressora,Epson,EPSON L1250,Xbfr082273,,ativo,,Piaui,,,0,0,2026-06-17 11:50:05,1
743,RCH-IMP-000232,impressora,Epson,EPSON L1250,Xbfr082255,,ativo,,Piaui,,,0,0,2026-06-17 11:50:05,1
